One man who makes jokes without any bad words....hats off
This needs million views... I have watched it so many times... I don't know why this is not famous
"Mama, nee vera level!!"
Wow that's a growth man form here to Amazon prime !!! #alexander
"What a transformation, now Alex looks more younger than this. He is musical genius"
Only 34k subscribers! You deserve much more than that.
Permanently surprised sambavam Alex ji
Bro ... Your are so so good acting singing nice to watch out u
Awesome Alex na :) keep it up
"What a development man.. 
Hats off for your Hard work and you deserve it!"
looks like some Jerry Seinfeld mannerisms this video alone
We will find them when we need them hahahaha good one
You are the funniest
Really true. Many women out there    use so many cosmetics. Which is quite unnecessary
How come I never found you before!?
Too good and very true.!
Good one Mr. Young Alex
Vera level sir..superb
Million dollars business
Awesome bro ..
hi anna.iam a big fan of u.ur words r sema na
#Super
This video deserves 3 million likes right away...
Want full episode
"Alex you've got a problem now. Just like Pattimandram Mohana Sundaram Sir, your jokes are getting repeated. Stereotyped. Request you to bring in newer energy like S.Ve Shekhar. Making someone laugh is not an easy job but you good at it.

That's the probably you are not getting a million views yet. Please work on it. I watched most of the video including Ted talk in these 3 hours I feel you beating around the same bush. 

Please improve buddy you have a family. God bless your kids."
How shall I get in contact with you....
why not upload full show videos
Inspiring
Dai Jesus Christ theVidya Payaaa
Awesome sirr
Hey what a get up da mama... U look like twin brother of Kadhalan Vadivelu... Ippadhan dicky gummunu iruku ..
Speak in English and we will laugh seriously I think title of the video must be thinking man laughing at own jokes and paying 5 people to laugh at his jokes
